[10/17/21 07:52:20] [INFO] received Windows console close event; shutting log-core down
[10/17/21 07:57:13] [INFO] received Windows console close event; shutting log-core down
[10/17/21 08:09:18] [INFO] received Windows console close event; shutting log-core down
[10/17/21 08:11:27] [INFO] received Windows console close event; shutting log-core down
[10/17/21 08:16:24] [INFO] received Windows console close event; shutting log-core down
[10/17/21 08:35:02] [INFO] received Windows console close event; shutting log-core down
[10/17/21 08:40:39] [INFO] received Windows console close event; shutting log-core down
[10/17/21 10:21:02] [INFO] received Windows console close event; shutting log-core down
[10/17/21 22:17:04] [INFO] received Windows console close event; shutting log-core down
[10/17/21 22:32:42] [INFO] received Windows console close event; shutting log-core down
[10/17/21 22:36:03] [INFO] received Windows console close event; shutting log-core down
[10/17/21 22:40:26] [INFO] received Windows console close event; shutting log-core down
[10/17/21 22:42:01] [INFO] received Windows console close event; shutting log-core down
[10/17/21 22:44:23] [INFO] received Windows console close event; shutting log-core down
[10/18/21 01:08:49] [INFO] received Windows console close event; shutting log-core down
[10/18/21 01:12:24] [INFO] received Windows console close event; shutting log-core down
[10/18/21 01:14:14] [INFO] received Windows console close event; shutting log-core down
[10/18/21 01:33:00] [INFO] received Windows console close event; shutting log-core down
[10/18/21 01:36:30] [INFO] received Windows console close event; shutting log-core down
[10/18/21 01:39:48] [INFO] received Windows console close event; shutting log-core down
[10/18/21 01:42:31] [INFO] received Windows console close event; shutting log-core down
[10/18/21 02:08:27] [INFO] received Windows console close event; shutting log-core down
[10/18/21 02:12:13] [INFO] received Windows console close event; shutting log-core down
[10/18/21 02:14:12] [INFO] received Windows console close event; shutting log-core down
[10/18/21 02:16:18] [INFO] received Windows console close event; shutting log-core down
[10/18/21 02:22:22] [INFO] received Windows console close event; shutting log-core down
[10/18/21 02:42:14] [INFO] received Windows console close event; shutting log-core down
[10/18/21 02:51:03] [INFO] received Windows console close event; shutting log-core down
[10/18/21 03:02:48] [INFO] received Windows console close event; shutting log-core down
[10/18/21 03:06:52] [INFO] received Windows console close event; shutting log-core down
[10/18/21 03:24:57] [INFO] received Windows console close event; shutting log-core down
[10/18/21 03:31:21] [INFO] received Windows console close event; shutting log-core down
[10/18/21 03:32:03] [INFO] received Windows console close event; shutting log-core down
[10/18/21 03:33:29] [INFO] received Windows console close event; shutting log-core down
[10/18/21 03:34:41] [INFO] received Windows console close event; shutting log-core down
[10/18/21 03:37:58] [INFO] received Windows console close event; shutting log-core down
[10/18/21 03:50:01] [INFO] received Windows console close event; shutting log-core down
[10/18/21 17:32:45] [INFO] received Windows console close event; shutting log-core down
[10/18/21 17:38:21] [INFO] received Windows console close event; shutting log-core down
[10/18/21 17:55:23] [INFO] received Windows console close event; shutting log-core down
[10/18/21 17:58:12] [INFO] received Windows console close event; shutting log-core down
[10/18/21 19:05:56] [INFO] received Windows console close event; shutting log-core down
[10/18/21 19:15:44] [INFO] received Windows console close event; shutting log-core down
[10/18/21 19:18:20] [INFO] received Windows console close event; shutting log-core down
[10/18/21 19:43:32] [INFO] received Windows console close event; shutting log-core down
[10/18/21 20:51:09] [INFO] received Windows console close event; shutting log-core down
[10/18/21 20:58:28] [INFO] received Windows console close event; shutting log-core down
[10/18/21 21:06:24] [INFO] received Windows console close event; shutting log-core down
[10/18/21 21:13:04] [INFO] received Windows console close event; shutting log-core down
[10/19/21 00:46:06] [INFO] received Windows console close event; shutting log-core down
[10/20/21 12:05:46] [INFO] received Windows console close event; shutting log-core down
[10/20/21 12:07:27] [INFO] received Windows console close event; shutting log-core down
[10/20/21 23:08:55] [INFO] received Windows console close event; shutting log-core down
[10/21/21 00:03:44] [INFO] received Windows console close event; shutting log-core down
[10/21/21 00:10:33] [INFO] received Windows console close event; shutting log-core down
[10/21/21 00:29:17] [INFO] received Windows console close event; shutting log-core down
[10/21/21 00:29:18] [INFO] received Windows console close event; shutting log-core down
[10/21/21 00:35:13] [INFO] received Windows console close event; shutting log-core down
[10/21/21 00:38:33] [INFO] received Windows console close event; shutting log-core down
[10/21/21 00:45:33] [INFO] received Windows console close event; shutting log-core down
[10/21/21 00:45:34] [INFO] received Windows console close event; shutting log-core down
[10/21/21 01:01:45] [INFO] received Windows console close event; shutting log-core down
[10/21/21 01:07:56] [INFO] received Windows console close event; shutting log-core down
[10/21/21 01:11:06] [INFO] received Windows console close event; shutting log-core down
[10/21/21 01:18:02] [INFO] received Windows console close event; shutting log-core down
[10/21/21 01:24:30] [INFO] received Windows console close event; shutting log-core down
[10/21/21 01:47:59] [INFO] received Windows console close event; shutting log-core down
[10/21/21 02:21:44] [INFO] received Windows console close event; shutting log-core down
[10/21/21 02:33:50] [INFO] received Windows console close event; shutting log-core down
[10/21/21 02:35:49] [INFO] received Windows console close event; shutting log-core down
[10/21/21 02:38:48] [INFO] received Windows console close event; shutting log-core down
[10/21/21 02:41:48] [INFO] received Windows console close event; shutting log-core down
[10/21/21 03:03:05] [INFO] received Windows console close event; shutting log-core down
[10/22/21 19:55:53] [INFO] received Windows console close event; shutting log-core down
[10/22/21 19:56:46] [INFO] received Windows console close event; shutting log-core down
[10/23/21 17:43:28] [INFO] received Windows console close event; shutting log-core down
[10/23/21 17:47:56] [INFO] received Windows console close event; shutting log-core down
[10/23/21 17:57:49] [INFO] received Windows console close event; shutting log-core down
[10/23/21 18:07:36] [INFO] received Windows console close event; shutting log-core down
[10/23/21 21:45:04] [INFO] received Windows console close event; shutting log-core down
[10/23/21 21:47:19] [INFO] received Windows console close event; shutting log-core down
[10/23/21 21:51:40] [INFO] received Windows console close event; shutting log-core down
[10/23/21 21:55:35] [INFO] received Windows console close event; shutting log-core down
[10/23/21 21:57:18] [INFO] received Windows console close event; shutting log-core down
[10/23/21 22:01:01] [INFO] received Windows console close event; shutting log-core down
[10/23/21 22:09:58] [INFO] received Windows console close event; shutting log-core down
[10/23/21 22:25:19] [INFO] received Windows console close event; shutting log-core down
[10/23/21 22:47:36] [INFO] received Windows console close event; shutting log-core down
[10/23/21 22:52:44] [INFO] received Windows console close event; shutting log-core down
[10/23/21 22:56:14] [INFO] received Windows console close event; shutting log-core down
[10/23/21 22:58:52] [INFO] received Windows console close event; shutting log-core down
[10/23/21 23:03:46] [INFO] received Windows console close event; shutting log-core down
[10/23/21 23:09:12] [INFO] received Windows console close event; shutting log-core down
[10/23/21 23:20:42] [INFO] received Windows console close event; shutting log-core down
[10/23/21 23:40:28] [INFO] received Windows console close event; shutting log-core down
[10/23/21 23:44:05] [INFO] received Windows console close event; shutting log-core down
[10/24/21 00:03:44] [INFO] received Windows console close event; shutting log-core down
[10/25/21 00:07:54] [INFO] received Windows console close event; shutting log-core down
[10/25/21 00:33:10] [INFO] received Windows console close event; shutting log-core down
[10/25/21 00:42:31] [INFO] received Windows console close event; shutting log-core down
[10/25/21 00:49:17] [INFO] received Windows console close event; shutting log-core down
[10/25/21 01:05:00] [INFO] received Windows console close event; shutting log-core down
[10/25/21 01:21:22] [INFO] received Windows console close event; shutting log-core down
[10/25/21 01:28:13] [INFO] received Windows console close event; shutting log-core down
[10/25/21 01:33:30] [INFO] received Windows console close event; shutting log-core down
[10/25/21 01:35:58] [INFO] received Windows console close event; shutting log-core down
[10/25/21 01:38:26] [INFO] received Windows console close event; shutting log-core down
[10/25/21 01:42:32] [INFO] received Windows console close event; shutting log-core down
[10/25/21 01:45:51] [INFO] received Windows console close event; shutting log-core down
[10/25/21 01:49:25] [INFO] received Windows console close event; shutting log-core down
[10/25/21 01:53:15] [INFO] received Windows console close event; shutting log-core down
[10/25/21 02:00:28] [INFO] received Windows console close event; shutting log-core down
[10/25/21 02:13:50] [INFO] received Windows console close event; shutting log-core down
[10/25/21 19:13:18] [INFO] received Windows console close event; shutting log-core down
[10/27/21 16:27:31] [INFO] received Windows console close event; shutting log-core down
[10/27/21 16:46:53] [INFO] received Windows console close event; shutting log-core down
[10/27/21 16:52:36] [INFO] received Windows console close event; shutting log-core down
[10/27/21 16:56:59] [INFO] received Windows console close event; shutting log-core down
[10/27/21 17:02:12] [INFO] received Windows console close event; shutting log-core down
